E	2x2
-4	2
-2	0
0	12
2	0
4	2

E	4x4
-24	2
-22	0
-20	8
-18	32
-16	72
-14	224
-12	584
-10	1216
-8	2638
-6	4928
-4	7344
-2	9984
0	11472
2	9984
4	7344
6	4928
8	2638
10	1216
12	584
14	224
16	72
18	32
20	8
22	0
24	2

E	6x6
-60	2
-58	0
-56	8
-54	48
-52	100
-50	288
-48	1132
-46	3168
-44	8824
-42	25744
-40	71064
-38	186624
-36	484210
-34	1214336
-32	2931560
-30	6853760
-28	15444302
-26	33435520
-24	69487240
-22	138380976
-20	263185168
-18	476852512
-16	821190292
-14	1340056928
-12	2065952532
-10	3000507536
-8	4093604824
-6	5230849920
-4	6244335166
-2	6951501824
0	7206345520
2	6951501824
4	6244335166
6	5230849920
8	4093604824
10	3000507536
12	2065952532
14	1340056928
16	821190292
18	476852512
20	263185168
22	138380976
24	69487240
26	33435520
28	15444302
30	6853760
32	2931560
34	1214336
36	484210
38	186624
40	71064
42	25744
44	8824
46	3168
48	1132
50	288
52	100
54	48
56	8
58	0
60	2



