E	2x2
-8	2
-4	0
0	12
4	0
8	2

E	4x4
-32	2
-28	0
-24	32
-20	64
-16	424
-12	1728
-8	6688
-4	13568
0	20524
4	13568
8	6688
12	1728
16	424
20	64
24	32
28	0
32	2

E	6x6
-72	2
-68	0
-64	72
-60	144
-56	1620
-52	6048
-48	35148
-44	159840
-40	804078
-36	3846576
-32	17569080
-28	71789328
-24	260434986
-20	808871328
-16	2122173684
-12	4616013408
-8	8196905106
-4	11674988208
0	13172279424
4	11674988208
8	8196905106
12	4616013408
16	2122173684
20	808871328
24	260434986
28	71789328
32	17569080
36	3846576
40	804078
44	159840
48	35148
52	6048
56	1620
60	144
64	72
68	0
72	2

