2x2
E\M	-4	-2	0	2	4
-8	1	0	0	0	1
-4	0	0	0	0	0
0	0	4	4	4	0
4	0	0	0	0	0
8	0	0	2	0	0

4x4
E\M	-16	-14	-12	-10	-8	-6	-4	-2	0	2	4	6	8	10	12	14	16
-32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-24	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
-20	0	0	32	0	0	0	0	0	0	0	0	0	0	0	32	0	0
-16	0	0	88	96	24	0	0	0	8	0	0	0	24	96	88	0	0
-12	0	0	0	256	256	192	96	64	0	64	96	192	256	256	0	0	0
-8	0	0	0	208	736	688	704	624	768	624	704	688	736	208	0	0	0
-4	0	0	0	0	576	1664	1824	1920	1600	1920	1824	1664	576	0	0	0	0
0	0	0	0	0	228	1248	2928	3680	4356	3680	2928	1248	228	0	0	0	0
4	0	0	0	0	0	448	1568	3136	3264	3136	1568	448	0	0	0	0	0
8	0	0	0	0	0	128	768	1392	2112	1392	768	128	0	0	0	0	0
12	0	0	0	0	0	0	64	512	576	512	64	0	0	0	0	0	0
16	0	0	0	0	0	0	56	96	120	96	56	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	16	0	16	0	0	0	0	0	0	0
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0

6x6 Tardó 54 min
E\M	-36	-34	-32	-30	-28	-26	-24	-22	-20	-18	-16	-14	-12	-10	-8	-6	-4	-2	0	2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36
-72	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
-68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-64	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0
-60	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0
-56	0	0	558	216	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	216	558	0	0
-52	0	0	0	2016	648	288	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	288	648	2016	0	0	0
-48	0	0	0	4908	7308	2844	1452	792	216	36	0	0	12	0	0	0	0	0	12	0	0	0	0	0	12	0	0	36	216	792	1452	2844	7308	4908	0	0	0
-44	0	0	0	0	23688	24480	13968	7632	4968	2736	1224	432	72	144	144	144	144	144	0	144	144	144	144	144	72	432	1224	2736	4968	7632	13968	24480	23688	0	0	0	0
-40	0	0	0	0	27225	95544	86544	62136	41634	28368	19764	13464	8820	5184	3456	2808	2700	2664	3456	2664	2700	2808	3456	5184	8820	13464	19764	28368	41634	62136	86544	95544	27225	0	0	0	0
-36	0	0	0	0	0	153504	336024	320976	258408	203232	155160	118944	93384	74592	60840	50160	42120	38592	34704	38592	42120	50160	60840	74592	93384	118944	155160	203232	258408	320976	336024	153504	0	0	0	0	0
-32	0	0	0	0	0	100332	648828	1118268	1169172	1040544	898164	761616	642528	550836	475092	423540	395568	373176	373752	373176	395568	423540	475092	550836	642528	761616	898164	1040544	1169172	1118268	648828	100332	0	0	0	0	0
