E	M	N
-8	-4	1
-8	-2	0
-8	0	0
-8	2	0
-8	4	1
-4	-4	0
-4	-2	0
-4	0	0
-4	2	0
-4	4	0
0	-4	0
0	-2	4
0	0	4
0	2	4
0	4	0
4	-4	0
4	-2	0
4	0	0
4	2	0
4	4	0
8	-4	0
8	-2	0
8	0	2
8	2	0
8	4	0

E	M	N
-32	-16	1
-32	-14	0
-32	-12	0
-32	-10	0
-32	-8	0
-32	-6	0
-32	-4	0
-32	-2	0
-32	0	0
-32	2	0
-32	4	0
-32	6	0
-32	8	0
-32	10	0
-32	12	0
-32	14	0
-32	16	1
-28	-16	0
-28	-14	0
-28	-12	0
-28	-10	0
-28	-8	0
-28	-6	0
-28	-4	0
-28	-2	0
-28	0	0
-28	2	0
-28	4	0
-28	6	0
-28	8	0
-28	10	0
-28	12	0
-28	14	0
-28	16	0
-24	-16	0
-24	-14	16
-24	-12	0
-24	-10	0
-24	-8	0
-24	-6	0
-24	-4	0
-24	-2	0
-24	0	0
-24	2	0
-24	4	0
-24	6	0
-24	8	0
-24	10	0
-24	12	0
-24	14	16
-24	16	0
-20	-16	0
-20	-14	0
-20	-12	32
-20	-10	0
-20	-8	0
-20	-6	0
-20	-4	0
-20	-2	0
-20	0	0
-20	2	0
-20	4	0
-20	6	0
-20	8	0
-20	10	0
-20	12	32
-20	14	0
-20	16	0
-16	-16	0
-16	-14	0
-16	-12	88
-16	-10	96
-16	-8	24
-16	-6	0
-16	-4	0
-16	-2	0
-16	0	8
-16	2	0
-16	4	0
-16	6	0
-16	8	24
-16	10	96
-16	12	88
-16	14	0
-16	16	0
-12	-16	0
-12	-14	0
-12	-12	0
-12	-10	256
-12	-8	256
-12	-6	192
-12	-4	96
-12	-2	64
-12	0	0
-12	2	64
-12	4	96
-12	6	192
-12	8	256
-12	10	256
-12	12	0
-12	14	0
-12	16	0
-8	-16	0
-8	-14	0
-8	-12	0
-8	-10	208
-8	-8	736
-8	-6	688
-8	-4	704
-8	-2	624
-8	0	768
-8	2	624
-8	4	704
-8	6	688
-8	8	736
-8	10	208
-8	12	0
-8	14	0
-8	16	0
-4	-16	0
-4	-14	0
-4	-12	0
-4	-10	0
-4	-8	576
-4	-6	1664
-4	-4	1824
-4	-2	1920
-4	0	1600
-4	2	1920
-4	4	1824
-4	6	1664
-4	8	576
-4	10	0
-4	12	0
-4	14	0
-4	16	0
0	-16	0
0	-14	0
0	-12	0
0	-10	0
0	-8	228
0	-6	1248
0	-4	2928
0	-2	3680
0	0	4356
0	2	3680
0	4	2928
0	6	1248
0	8	228
0	10	0
0	12	0
0	14	0
0	16	0
4	-16	0
4	-14	0
4	-12	0
4	-10	0
4	-8	0
4	-6	448
4	-4	1568
4	-2	3136
4	0	3264
4	2	3136
4	4	1568
4	6	448
4	8	0
4	10	0
4	12	0
4	14	0
4	16	0
8	-16	0
8	-14	0
8	-12	0
8	-10	0
8	-8	0
8	-6	128
8	-4	768
8	-2	1392
8	0	2112
8	2	1392
8	4	768
8	6	128
8	8	0
8	10	0
8	12	0
8	14	0
8	16	0
12	-16	0
12	-14	0
12	-12	0
12	-10	0
12	-8	0
12	-6	0
12	-4	64
12	-2	512
12	0	576
12	2	512
12	4	64
12	6	0
12	8	0
12	10	0
12	12	0
12	14	0
12	16	0
16	-16	0
16	-14	0
16	-12	0
16	-10	0
16	-8	0
16	-6	0
16	-4	56
16	-2	96
16	0	120
16	2	96
16	4	56
16	6	0
16	8	0
16	10	0
16	12	0
16	14	0
16	16	0
20	-16	0
20	-14	0
20	-12	0
20	-10	0
20	-8	0
20	-6	0
20	-4	0
20	-2	0
20	0	64
20	2	0
20	4	0
20	6	0
20	8	0
20	10	0
20	12	0
20	14	0
20	16	0
24	-16	0
24	-14	0
24	-12	0
24	-10	0
24	-8	0
24	-6	0
24	-4	0
24	-2	16
24	0	0
24	2	16
24	4	0
24	6	0
24	8	0
24	10	0
24	12	0
24	14	0
24	16	0
28	-16	0
28	-14	0
28	-12	0
28	-10	0
28	-8	0
28	-6	0
28	-4	0
28	-2	0
28	0	0
28	2	0
28	4	0
28	6	0
28	8	0
28	10	0
28	12	0
28	14	0
28	16	0
32	-16	0
32	-14	0
32	-12	0
32	-10	0
32	-8	0
32	-6	0
32	-4	0
32	-2	0
32	0	2
32	2	0
32	4	0
32	6	0
32	8	0
32	10	0
32	12	0
32	14	0
32	16	0

E	M	N
-72	-36	1
-72	-34	0
-72	-32	0
-72	-30	0
-72	-28	0
-72	-26	0
-72	-24	0
-72	-22	0
-72	-20	0
-72	-18	0
-72	-16	0
-72	-14	0
-72	-12	0
-72	-10	0
-72	-8	0
-72	-6	0
-72	-4	0
-72	-2	0
-72	0	0
-72	2	0
-72	4	0
-72	6	0
-72	8	0
-72	10	0
-72	12	0
-72	14	0
-72	16	0
-72	18	0
-72	20	0
-72	22	0
-72	24	0
-72	26	0
-72	28	0
-72	30	0
-72	32	0
-72	34	0
-72	36	1
-68	-36	0
-68	-34	0
-68	-32	0
-68	-30	0
-68	-28	0
-68	-26	0
-68	-24	0
-68	-22	0
-68	-20	0
-68	-18	0
-68	-16	0
-68	-14	0
-68	-12	0
-68	-10	0
-68	-8	0
-68	-6	0
-68	-4	0
-68	-2	0
-68	0	0
-68	2	0
-68	4	0
-68	6	0
-68	8	0
-68	10	0
-68	12	0
-68	14	0
-68	16	0
-68	18	0
-68	20	0
-68	22	0
-68	24	0
-68	26	0
-68	28	0
-68	30	0
-68	32	0
-68	34	0
-68	36	0
-64	-36	0
-64	-34	36
-64	-32	0
-64	-30	0
-64	-28	0
-64	-26	0
-64	-24	0
-64	-22	0
-64	-20	0
-64	-18	0
-64	-16	0
-64	-14	0
-64	-12	0
-64	-10	0
-64	-8	0
-64	-6	0
-64	-4	0
-64	-2	0
-64	0	0
-64	2	0
-64	4	0
-64	6	0
-64	8	0
-64	10	0
-64	12	0
-64	14	0
-64	16	0
-64	18	0
-64	20	0
-64	22	0
-64	24	0
-64	26	0
-64	28	0
-64	30	0
-64	32	0
-64	34	36
-64	36	0
-60	-36	0
-60	-34	0
-60	-32	72
-60	-30	0
-60	-28	0
-60	-26	0
-60	-24	0
-60	-22	0
-60	-20	0
-60	-18	0
-60	-16	0
-60	-14	0
-60	-12	0
-60	-10	0
-60	-8	0
-60	-6	0
-60	-4	0
-60	-2	0
-60	0	0
-60	2	0
-60	4	0
-60	6	0
-60	8	0
-60	10	0
-60	12	0
-60	14	0
-60	16	0
-60	18	0
-60	20	0
-60	22	0
-60	24	0
-60	26	0
-60	28	0
-60	30	0
-60	32	72
-60	34	0
-60	36	0
-56	-36	0
-56	-34	0
-56	-32	558
-56	-30	216
-56	-28	36
-56	-26	0
-56	-24	0
-56	-22	0
-56	-20	0
