T	<e>	cv  (10^5 samples)
0.3	-2	0
0.35	-2	0
0.4	-2	0
0.45	-2	0
0.5	-2	0
0.55	-2	0
0.6	-1.99999	0.000197523
0.65	-1.99998	0.000420734
0.7	-1.99991	0.00152317
0.75	-1.99975	0.0035832
0.8	-1.99969	0.00398749
0.85	-1.99938	0.0069504
0.9	-1.99889	0.011199
0.95	-1.99811	0.0172901
1	-1.99685	0.0262302
1.05	-1.99564	0.0327226
1.1	-1.99375	0.0428607
1.15	-1.99156	0.0539042
1.2	-1.98868	0.066068
1.25	-1.9853	0.0811439
1.3	-1.9796	0.104419
1.35	-1.97481	0.119587
1.4	-1.96815	0.142339
1.45	-1.96008	0.169429
1.5	-1.95204	0.190653
1.55	-1.93951	0.2325
1.6	-1.92757	0.264258
1.65	-1.91423	0.298404
1.7	-1.89963	0.334773
1.75	-1.88183	0.381761
1.8	-1.85866	0.441346
1.85	-1.83513	0.492204
1.9	-1.81009	0.551715
1.95	-1.78154	0.617841
2	-1.75076	0.66141
2.05	-1.71531	0.727471
2.1	-1.67	0.836411
2.15	-1.63498	0.869119
2.2	-1.58606	0.932249
2.25	-1.53468	0.974834
2.3	-1.4868	1.00274
2.35	-1.42804	1.04687
2.4	-1.38684	1.03509
2.45	-1.32641	1.03556
2.5	-1.27692	1.00438
2.55	-1.22705	0.978297
2.6	-1.17797	0.926355
2.65	-1.14419	0.88504
2.7	-1.09268	0.838653
2.75	-1.05471	0.787777
2.8	-1.01286	0.739806
2.85	-0.978374	0.690707
2.9	-0.945749	0.64279
2.95	-0.914201	0.597052
3	-0.882974	0.551133
3.05	-0.859122	0.522337
3.1	-0.835709	0.485546
3.15	-0.814574	0.448911
3.2	-0.788132	0.420042
3.25	-0.767729	0.390404
3.3	-0.75	0.371888
3.35	-0.737579	0.353675
3.4	-0.716166	0.331656
3.45	-0.69993	0.312434
3.5	-0.681377	0.29336
3.55	-0.671997	0.281101
3.6	-0.657632	0.268737
3.65	-0.644614	0.253759
3.7	-0.629392	0.242775
3.75	-0.615967	0.229926
3.8	-0.606451	0.220796
3.85	-0.593999	0.21352
3.9	-0.586639	0.205062
3.95	-0.575457	0.195579
4	-0.562312	0.186959
4.05	-0.557631	0.180605
4.1	-0.546639	0.173944
4.15	-0.538949	0.165923
4.2	-0.533426	0.161457
4.25	-0.524822	0.155161
4.3	-0.517186	0.150557
4.35	-0.508843	0.144854
4.4	-0.502351	0.141922
4.45	-0.495411	0.136482
4.5	-0.486433	0.132248
4.55	-0.480431	0.128988
4.6	-0.474437	0.124483
4.65	-0.46757	0.119921
4.7	-0.462736	0.116951
4.75	-0.458376	0.114302
4.8	-0.452066	0.112041
4.85	-0.446304	0.108815
4.9	-0.44088	0.106638
4.95	-0.435623	0.103575
5	-0.429098	0.0992541

T	<e>	cv  (10^6 samples)
0.1	-2	0
0.15	-2	0
0.2	-2	0
0.25	-2	0
0.3	-2	0
0.35	-2	0
0.4	-2	1.11111e-05
0.45	-2	8.77914e-06
0.5	-2	4.97774e-05
0.55	-1.99999	0.00014692
0.6	-1.99999	0.000281465
0.65	-1.99996	0.00067734
0.7	-1.99991	0.00144795
0.75	-1.9998	0.00280642
0.8	-1.99962	0.00485975
0.85	-1.99933	0.00752726
0.9	-1.99882	0.0118026
0.95	-1.99814	0.0167957
1	-1.99719	0.0230742
1.05	-1.99589	0.0308967
1.1	-1.99387	0.0423195
1.15	-1.99168	0.0529332
1.2	-1.98844	0.068187
1.25	-1.98485	0.0830199
1.3	-1.98026	0.101034
1.35	-1.97474	0.121366
1.4	-1.96802	0.144455
1.45	-1.96033	0.169252
1.5	-1.95092	0.197604
1.55	-1.94018	0.230393
1.6	-1.92811	0.264072
1.65	-1.91433	0.29849
1.7	-1.89804	0.343112
1.75	-1.87961	0.388849
1.8	-1.85937	0.438729
1.85	-1.83589	0.494285
1.9	-1.81092	0.5476
1.95	-1.77899	0.624795
2	-1.74766	0.684869
2.05	-1.71194	0.749197
2.1	-1.67189	0.819906
2.15	-1.62778	0.886282
2.2	-1.58191	0.944183
2.25	-1.53679	0.980237
2.3	-1.48621	1.01367
2.35	-1.43389	1.03224
2.4	-1.38311	1.03938
2.45	-1.33093	1.02818
2.5	-1.28102	1.00413
2.55	-1.23071	0.971828
2.6	-1.18249	0.933286
2.65	-1.13722	0.885237
2.7	-1.09433	0.836267
2.75	-1.05355	0.786891
2.8	-1.01399	0.734673
2.85	-0.979247	0.687603
2.9	-0.946269	0.642058
2.95	-0.915912	0.598511
3	-0.887674	0.557843
3.05	-0.861005	0.519555
3.1	-0.833477	0.483658
3.15	-0.810715	0.451931
3.2	-0.789047	0.422385
3.25	-0.76891	0.395383
3.3	-0.750776	0.37446
3.35	-0.732372	0.35204
3.4	-0.714078	0.330357
3.45	-0.699232	0.313493
3.5	-0.683446	0.296828
3.55	-0.668386	0.280835
3.6	-0.656434	0.268015
3.65	-0.641675	0.253327
3.7	-0.629997	0.242197
3.75	-0.617693	0.231274
3.8	-0.607178	0.220882
3.85	-0.59635	0.211736
3.9	-0.585397	0.202832
3.95	-0.57629	0.194962
4	-0.566205	0.187833
4.05	-0.557563	0.18054
4.1	-0.548087	0.173419
4.15	-0.54019	0.167583
4.2	-0.53176	0.161548
4.25	-0.52402	0.156077
4.3	-0.515811	0.15067
4.35	-0.508457	0.145559
4.4	-0.501235	0.141087
4.45	-0.494551	0.136827
4.5	-0.488118	0.132815
4.55	-0.480983	0.128055
4.6	-0.475164	0.125093
4.65	-0.468796	0.120967
4.7	-0.463049	0.117727
4.75	-0.456369	0.114523
4.8	-0.45154	0.111347
4.85	-0.446184	0.108573
4.9	-0.44008	0.105291
4.95	-0.435734	0.102832
5	-0.43024	0.100025

