4x4 (2 min)
T	<|m|>
0.1	1
0.175	1
0.25	1
0.325	1
0.4	1
0.475	1
0.55	0.999999
0.625	0.999992
0.7	0.999982
0.775	0.999926
0.85	0.999829
0.925	0.999632
1	0.999264
1.075	0.998696
1.15	0.997816
1.225	0.996476
1.3	0.994733
1.375	0.992219
1.45	0.988838
1.525	0.984565
1.6	0.979246
1.675	0.971777
1.75	0.962983
1.825	0.952339
1.9	0.939698
1.975	0.924902
2.05	0.906513
2.125	0.887383
2.2	0.865818
2.275	0.842087
2.35	0.817232
2.425	0.791296
2.5	0.764222
2.575	0.737565
2.65	0.712133
2.725	0.686528
2.8	0.660856
2.875	0.637931
2.95	0.614676
3.025	0.595079
3.1	0.574402
3.175	0.555022
3.25	0.537256
3.325	0.522695
3.4	0.507054
3.475	0.493162
3.55	0.480175
3.625	0.468052
3.7	0.454962
3.775	0.445401
3.85	0.434899
3.925	0.426816
4	0.417496
4.075	0.410278
4.15	0.402103
4.225	0.395214
4.3	0.389006
4.375	0.383018
4.45	0.376839
4.525	0.371632
4.6	0.365943
4.675	0.361557
4.75	0.356548
4.825	0.351969
4.9	0.347786
4.975	0.343927

8x8 (8 min)
T	<|m|>
0.1	1
0.175	1
0.25	1
0.325	1
0.4	0.9969
0.475	1
0.55	0.999999
0.625	0.999994
0.7	0.999979
0.775	0.99993
0.85	0.999832
0.925	0.999624
1	0.999274
1.075	0.998723
1.15	0.997813
1.225	0.996509
1.3	0.994754
1.375	0.992341
1.45	0.98915
1.525	0.98501
1.6	0.979755
1.675	0.972682
1.75	0.963951
1.825	0.952567
1.9	0.938297
1.975	0.918991
2.05	0.893349
2.125	0.862369
2.2	0.821373
2.275	0.773321
2.35	0.720243
2.425	0.659899
2.5	0.60429
2.575	0.548096
2.65	0.49993
2.725	0.457925
2.8	0.419646
2.875	0.389007
2.95	0.360231
3.025	0.338428
3.1	0.318729
3.175	0.30248
3.25	0.288061
3.325	0.2762
3.4	0.264796
3.475	0.254225
3.55	0.245593
3.625	0.237515
3.7	0.230731
3.775	0.224758
3.85	0.219035
3.925	0.213429
4	0.209055
4.075	0.204307
4.15	0.200171
4.225	0.196584
4.3	0.193222
4.375	0.189621
4.45	0.186994
4.525	0.184104
4.6	0.181592
4.675	0.178517
4.75	0.176742
4.825	0.174145
4.9	0.172446
4.975	0.17002

16x16 (3 min 4 s)
T	<|m|>
0.1	1
0.175	1
0.25	1
0.325	1
0.4	1
0.475	1
0.55	0.999999
0.625	0.999994
0.7	0.999979
0.775	0.999929
0.85	0.999825
0.925	0.999647
1	0.999287
1.075	0.998705
1.15	0.997806
1.225	0.996574
1.3	0.994806
1.375	0.992321
1.45	0.989261
1.525	0.984966
1.6	0.979762
1.675	0.972883
1.75	0.963935
1.825	0.952839
1.9	0.937786
1.975	0.919972
2.05	0.890835
2.125	0.852002
2.2	0.79756
2.275	0.691425
2.35	0.594572
2.425	0.484328
2.5	0.382246
2.575	0.319173
2.65	0.277289
2.725	0.238794
2.8	0.212255
2.875	0.195807
2.95	0.177724
3.025	0.167723
3.1	0.157676
3.175	0.148581
3.25	0.143004
3.325	0.135815
3.4	0.129985
3.475	0.126889
3.55	0.12161
3.625	0.117156
3.7	0.113909
3.775	0.111111
3.85	0.108964
3.925	0.1066
4	0.103618
4.075	0.101385
4.15	0.0998166
4.225	0.0972259
4.3	0.0952902
4.375	0.0943753
4.45	0.0928229
4.525	0.0918489
4.6	0.089661
4.675	0.0892906
4.75	0.0876383
4.825	0.0863032
4.9	0.0852702
4.975	0.0847594

32x32 (14 min)
T	<|m|>
0.1	1
0.175	1
0.25	1
0.325	1
0.4	1
0.475	1
0.55	0.999999
0.625	0.999994
0.7	0.999979
0.775	0.999933
0.85	0.99983
0.925	0.999632
1	0.999283
1.075	0.998711
1.15	0.997822
1.225	0.996541
1.3	0.994774
1.375	0.992353
1.45	0.989118
1.525	0.984977
1.6	0.979626
1.675	0.972877
1.75	0.96407
1.825	0.952827
1.9	0.938232
1.975	0.919663
2.05	0.89278
2.125	0.854795
2.2	0.785421
2.275	0.656238
2.35	0.426664
2.425	0.274466
2.5	0.199555
2.575	0.160213
2.65	0.133859
2.725	0.119507
2.8	0.104779
2.875	0.0965162
2.95	0.0891365
3.025	0.0834308
3.1	0.0778269
3.175	0.0743577
3.25	0.0701196
3.325	0.067573
3.4	0.0648223
3.475	0.062836
3.55	0.0603559
3.625	0.0584906
3.7	0.0573702
3.775	0.0556084
3.85	0.0541564
3.925	0.0529979
4	0.051545
4.075	0.0505321
4.15	0.0497474
4.225	0.0486374
4.3	0.0480431
4.375	0.0469856
4.45	0.0463141
4.525	0.0457318
4.6	0.0448897
4.675	0.0443076
4.75	0.043926
4.825	0.0430981
4.9	0.0429661
4.975	0.0423463

