6x6 (28 min)
T	<|m|>	B(T)
0.5	0.999999	0.999999
0.6	0.999995	0.999999
0.7	0.999978	0.999997
0.8	0.999906	0.99999
0.9	0.999716	0.999969
1	0.999271	0.999918
1.1	0.998451	0.999819
1.2	0.997005	0.999633
1.3	0.994788	0.999326
1.4	0.9914	0.998804
1.5	0.9865	0.99797
1.6	0.979474	0.996575
1.7	0.969899	0.994377
1.8	0.95666	0.990735
1.9	0.93799	0.984781
2	0.913121	0.975492
2.1	0.879673	0.961024
2.15	0.860359	0.951603
2.175	0.850174	0.946347
2.2	0.838282	0.94041
2.225	0.827416	0.934447
2.25	0.813575	0.926067
2.275	0.802788	0.920466
2.3	0.790064	0.91293
2.325	0.777042	0.904375
2.35	0.763603	0.895358
2.4	0.733708	0.874803
2.5	0.677157	0.830711
2.6	0.621355	0.78025
2.7	0.570436	0.726432
2.8	0.523852	0.670712
2.9	0.483685	0.615996
3	0.448851	0.56378
3.1	0.418893	0.51488
3.2	0.393514	0.470346
3.3	0.371623	0.430861
3.4	0.352557	0.394214
3.5	0.33637	0.362543
3.6	0.321983	0.334079
3.7	0.309515	0.308715
3.8	0.298623	0.286973
3.9	0.288853	0.267761
4	0.280011	0.248978
4.1	0.272183	0.233507
4.2	0.26519	0.220744
4.3	0.258796	0.208541
4.4	0.253109	0.197178
4.5	0.247952	0.188411
4.6	0.243012	0.178588
4.7	0.238463	0.170328
4.8	0.234656	0.164354
4.9	0.230802	0.157985
5	0.227148	0.149747

16x16 (58 min)
T	<|m|>	B(T)
0.5	0.999999	1
0.6	0.999996	0.999999
0.7	0.999977	0.999999
0.8	0.999907	0.999998
0.9	0.999708	0.999995
1	0.999275	0.999987
1.1	0.998442	0.999972
1.2	0.997017	0.999944
1.3	0.994777	0.999897
1.4	0.991399	0.999815
1.5	0.986509	0.99968
1.6	0.979605	0.99945
1.7	0.970062	0.999054
1.8	0.956893	0.998334
1.9	0.938295	0.996901
2	0.911184	0.993655
2.1	0.868705	0.985017
2.15	0.835915	0.975076
2.175	0.818018	0.968782
2.2	0.796453	0.960409
2.225	0.766423	0.946046
2.25	0.737842	0.931455
2.275	0.706534	0.913454
2.3	0.66963	0.888749
2.325	0.633636	0.862559
2.35	0.594528	0.830164
2.4	0.516866	0.752369
2.5	0.389091	0.574863
2.6	0.303293	0.412567
2.7	0.251	0.299553
2.8	0.214709	0.215635
2.9	0.190057	0.167319
3	0.171506	0.131432
3.1	0.157939	0.109751
3.2	0.146608	0.0900871
3.3	0.137568	0.0775161
3.4	0.130306	0.0668436
3.5	0.123923	0.0605915
3.6	0.118643	0.0518421
3.7	0.114304	0.0502891
3.8	0.110151	0.0450587
3.9	0.106631	0.0410638
4	0.103583	0.039854
4.1	0.100593	0.0343021
4.2	0.0983762	0.0324388
